year,month,pageview_desktop_views,pagecount_desktop_views,pagecount_mobile_views,pageview_mobile_views,pageview_all_views,pagecount_all_views
2007,12,0,2998331524,0,0,0,2998331524
2008,1,0,4930902570,0,0,0,4930902570
2008,2,0,4818393763,0,0,0,4818393763
2008,3,0,4955405809,0,0,0,4955405809
2008,4,0,5159162183,0,0,0,5159162183
2008,5,0,5584691092,0,0,0,5584691092
2008,6,0,5712104279,0,0,0,5712104279
2008,7,0,5306302874,0,0,0,5306302874
2008,8,0,5140155519,0,0,0,5140155519
2008,9,0,5479533823,0,0,0,5479533823
2008,10,0,5679440782,0,0,0,5679440782
2008,11,0,5415832071,0,0,0,5415832071
2008,12,0,5211708451,0,0,0,5211708451
2009,1,0,5802681551,0,0,0,5802681551
2009,2,0,5547320860,0,0,0,5547320860
2009,3,0,6295159057,0,0,0,6295159057
2009,4,0,5988817321,0,0,0,5988817321
2009,5,0,6267516733,0,0,0,6267516733
2009,6,0,5818924182,0,0,0,5818924182
2009,7,0,5801646978,0,0,0,5801646978
2009,8,0,5790850384,0,0,0,5790850384
2009,9,0,4057515768,0,0,0,4057515768
2009,10,0,6016107147,0,0,0,6016107147
2009,11,0,5768486910,0,0,0,5768486910
2009,12,0,5426505977,0,0,0,5426505977
2010,1,0,5703465285,0,0,0,5703465285
2010,2,0,5762451418,0,0,0,5762451418
2010,3,0,6661347946,0,0,0,6661347946
2010,4,0,6618552152,0,0,0,6618552152
2010,5,0,6410578775,0,0,0,6410578775
2010,6,0,4898035014,0,0,0,4898035014
2010,7,0,5296177638,0,0,0,5296177638
2010,8,0,7381346660,0,0,0,7381346660
2010,9,0,7546488744,0,0,0,7546488744
2010,10,0,10172844562,0,0,0,10172844562
2010,11,0,6948678354,0,0,0,6948678354
2010,12,0,7001952100,0,0,0,7001952100
2011,1,0,7568511227,0,0,0,7568511227
2011,2,0,6906248849,0,0,0,6906248849
2011,3,0,7326545928,0,0,0,7326545928
2011,4,0,6835492088,0,0,0,6835492088
2011,5,0,7009799378,0,0,0,7009799378
2011,6,0,6536675534,0,0,0,6536675534
2011,7,0,6571730164,0,0,0,6571730164
2011,8,0,6514500361,0,0,0,6514500361
2011,9,0,5837738935,0,0,0,5837738935
2011,10,0,6974424665,0,0,0,6974424665
2011,11,0,7507641641,0,0,0,7507641641
2011,12,0,6396357939,0,0,0,6396357939
2012,1,0,7808477339,0,0,0,7808477339
2012,2,0,7530127141,0,0,0,7530127141
2012,3,0,7358543625,0,0,0,7358543625
2012,4,0,7220029422,0,0,0,7220029422
2012,5,0,7784479302,0,0,0,7784479302
2012,6,0,7524265988,0,0,0,7524265988
2012,7,0,7819376527,0,0,0,7819376527
2012,8,0,7885641059,0,0,0,7885641059
2012,9,0,7913689733,0,0,0,7913689733
2012,10,0,8379960050,0,0,0,8379960050
2012,11,0,8219987195,0,0,0,8219987195
2012,12,0,8033826900,0,0,0,8033826900
2013,1,0,9126210673,0,0,0,9126210673
2013,2,0,8100597857,0,0,0,8100597857
2013,3,0,8701419671,0,0,0,8701419671
2013,4,0,8049296729,0,0,0,8049296729
2013,5,0,8089099883,0,0,0,8089099883
2013,6,0,7759959725,0,0,0,7759959725
2013,7,0,8237301982,0,0,0,8237301982
2013,8,0,9306122925,0,0,0,9306122925
2013,9,0,9985326806,0,0,0,9985326806
2013,10,0,10775158269,0,0,0,10775158269
2013,11,0,10414877805,0,0,0,10414877805
2013,12,0,7102459747,0,0,0,7102459747
2014,1,0,7026531269,0,0,0,7026531269
2014,2,0,6718243109,0,0,0,6718243109
2014,3,0,7464128273,0,0,0,7464128273
2014,4,0,7216245221,0,0,0,7216245221
2014,5,0,7543277646,0,0,0,7543277646
2014,6,0,6577352648,0,0,0,6577352648
2014,7,0,6761059566,0,0,0,6761059566
2014,8,0,6687313714,0,0,0,6687313714
2014,9,0,7564600999,0,0,0,7564600999
2014,10,0,6577533128,3091546685,0,0,9669079813
2014,11,0,6153537606,3027489668,0,0,9181027274
2014,12,0,5830332248,3278950021,0,0,9109282269
2015,1,0,6103767055,3485302091,0,0,9589069146
2015,2,0,5602710439,3091534479,0,0,8694244918
2015,3,0,6346602713,3330832588,0,0,9677435301
2015,4,0,6198945657,3222089917,0,0,9421035574
2015,5,0,6323801814,3334069483,0,0,9657871297
2015,6,0,5165413640,3038162463,0,0,8203576103
2015,7,4376666686,5229226022,3254472695,3288755294,7665421980,8483698717
2015,8,4332482183,5035534449,3268487582,3302333038,7634815221,8304022031
2015,9,4485491704,5409631355,3172429827,3170203333,7655695037,8582061182
2015,10,4477532755,5535704471,3246082505,3268499132,7746031887,8781786976
2015,11,4287720220,5296956116,3218234512,3236601070,7524321290,8515190628
2015,12,4100012037,5264446173,3387411863,3376275307,7476287344,8651858036
2016,1,4436179457,5569632502,3739628742,3717836846,8154016303,9309261244
2016,2,4250997185,5347709361,3333231392,3334862272,7585859457,8680940753
2016,3,4286590426,5407676056,3419853636,3386684191,7673274617,8827529692
2016,4,4149383857,5572235399,3301385124,3258764002,7408147859,8873620523
2016,5,4191778094,5330532334,3418435805,3395033236,7586811330,8748968139
2016,6,3888839711,4975092447,3372618063,3354790945,7243630656,8347710510
2016,7,4337865827,5363966439,3500661121,3496573762,7834439589,8864627560
2016,8,4695046216,0,0,3515819303,8210865519,0
2016,9,4135006498,0,0,3393285781,7528292279,0
2016,10,4361737690,0,0,3509283891,7871021581,0
2016,11,4392068236,0,0,3591044925,7983113161,0
2016,12,4209608578,0,0,3776543855,7986152433,0
2017,1,4521980398,0,0,4231961542,8753941940,0
2017,2,4026702163,0,0,3711761399,7738463562,0
2017,3,4319971902,0,0,3903493989,8223465891,0
2017,4,3951456992,0,0,3639623119,7591080111,0
2017,5,4187870579,0,0,3686687720,7874558299,0
2017,6,3604550997,0,0,3519383193,7123934190,0
2017,7,3565444544,0,0,3725059253,7290503797,0
2017,8,3575572313,0,0,3621406302,7196978615,0
2017,9,3547447892,0,0,3531604369,7079052261,0
2017,10,3907651639,0,0,3673120542,7580772181,0
2017,11,3816060923,0,0,3670012061,7486072984,0
2017,12,3640391096,0,0,3830136304,7470527400,0
2018,1,4111833689,0,0,4259282371,8371116060,0
2018,2,3634653694,0,0,3725680728,7360334422,0
2018,3,3965271925,0,0,4049874257,8015146182,0
2018,4,3762955419,0,0,3927398111,7690353530,0
2018,5,3675652396,0,0,4089188522,7764840918,0
2018,6,3278649434,0,0,3977766741,7256416175,0
2018,7,3457051589,0,0,4266113752,7723165341,0
2018,8,3399130789,0,0,4187362161,7586492950,0
2018,9,3433832231,0,0,3977120244,7410952475,0
2018,10,3640606578,0,0,4073789753,7714396331,0
2018,11,3448616562,0,0,4033380040,7481996602,0
2018,12,3379686909,0,0,4289054166,7668741075,0
2019,1,3616017826,0,0,4597597181,8213615007,0
2019,2,3244921935,0,0,4018109995,7263031930,0
2019,3,3439386600,0,0,4407290322,7846676922,0
2019,4,3330234244,0,0,4261664166,7591898410,0
2019,5,3364959217,0,0,4413766230,7778725447,0
2019,6,2986618238,0,0,4285985271,7272603509,0
2019,7,3140657554,0,0,4557266440,7697923994,0
2019,8,2979881198,0,0,4531756543,7511637741,0
2019,9,3061362632,0,0,4437958209,7499320841,0
2019,10,3588403486,0,0,4506591862,8094995348,0
2019,11,3252465442,0,0,4471241664,7723707106,0
2019,12,3097051994,0,0,4554269292,7651321286,0
2020,1,3440480235,0,0,4832149630,8272629865,0
2020,2,3176520359,0,0,4418801212,7595321571,0
2020,3,3412498274,0,0,4686270555,8098768829,0
2020,4,3798372613,0,0,5505741941,9304114554,0
2020,5,3078093615,0,0,5231700095,8309793710,0
2020,6,2721328557,0,0,4573975256,7295303813,0
2020,7,2638936132,0,0,4809714465,7448650597,0
2020,8,2613058239,0,0,4803308661,7416366900,0
